channel,energy_ev,score,prominence,d2_real,d2_imag,eps1,eps2
parallel,0.753886110042324,214.82524294457596,105.72103337149936,112.05367451553681,183.286276174083,11.819072332437122,0.874796989748201
parallel,0.8471527510580993,122.10328835255451,80.03674589221981,67.55720991253976,-101.71153531109495,12.123892569208872,0.568652422264994
parallel,1.00454020777222,192.36037713989015,40.568886516186154,-63.364982875623156,-181.6243200636213,12.571850614113014,1.0770457532132143
parallel,1.1677568295498268,244.51803444074255,157.42360179519093,-236.27230618043964,62.964009552606655,13.386453837961183,1.4205188187484847
parallel,1.3095998460946516,345.5108276663272,336.81503163789023,322.8003876980907,-123.19757195916151,12.77982541949181,2.071365041293024
parallel,1.393151212004617,185.6115314989132,26.78776180970459,-50.65083733573997,178.5668874751432,13.300410866421885,1.8147520193533815
parallel,1.4844747979992303,109.51671713312928,22.533118244989595,74.58983855100442,-80.18894759599323,13.691076100060677,2.3750594520802664
parallel,3.0253174297806846,147.41606762164025,11.272249709650026,-3.9744784514210854,-147.36248000786088,8.255255399683696,16.44044075756148
parallel,3.1146979607541363,186.4502918534429,180.06785309652207,177.74199745300263,-56.31601613795883,6.3351363843290684,15.804362681140123
parallel,3.2001923816852633,109.07117580975223,34.8664222369615,94.36637652791764,54.694683228931446,5.351742183251556,14.750993701052943
parallel,4.857618314736437,129.48299806790448,127.21005732260824,123.5734312329906,-38.6710987942973,-6.746707141260754,11.654966814307686
parallel_minus_perp,0.9481916121585225,77.639058937229,71.90668824054198,35.29634200297596,-69.15194656600401,-0.10527324253475685,-0.04944324850418611
parallel_minus_perp,1.1677568295498268,74.4384889528329,64.49854687552407,-42.37170137942919,61.20234929962659,0.11079331484322946,-0.10903578134648192
parallel_minus_perp,2.29667179684494,70.29955685713863,67.88343245255417,68.78218397987555,-14.527176644779113,0.44903255096792016,-0.009030588525374382
parallel_minus_perp,2.4715467487495193,94.26100176776556,76.52322831637659,-87.51849966656602,35.009265493237464,0.31566697930005655,0.442185655647216
parallel_minus_perp,2.623105040400154,145.46218978525658,144.22079259687547,123.380812748466,-77.04819078115966,-0.30439731631461575,0.4571282274949764
parallel_minus_perp,2.7960369372835707,135.46839159425147,125.17241094012131,133.75976690071894,21.447840912287525,-0.2279891433180157,-0.18058112518898908
parallel_minus_perp,2.9592535590611773,119.45496656972783,112.6460208520446,-119.39586986029828,-3.757033201544664,0.16992149532997453,-0.05788158227420873
parallel_minus_perp,3.0874951904578682,86.06382542839431,83.2450036637237,84.91318984369278,14.02612697568794,0.1386359663263043,0.028957416872631755
parallel_minus_perp,3.266256252404771,93.45785177458342,88.11348388627478,86.03030725571192,36.51241284560368,0.13932026660844227,0.09528550602898929
parallel_minus_perp,3.38283955367449,93.8745719529677,93.32964568630386,86.43952837329714,36.61479474140021,0.11239207055653488,0.11241911902702537
parallel_minus_perp,3.5674297806848787,69.9056545149315,68.36997446382833,65.52122434123926,24.367389970736667,0.10444797469015328,0.14355675062731163
perp,0.753886110042324,192.24247266957246,94.6394963259854,125.02474468628216,146.03417926718825,11.893466352016128,0.9060661700126073
perp,0.8471527510580993,85.80354992449396,45.4093059956396,54.5169548627731,-66.25821316739147,12.160166601344738,0.626425927847888
perp,1.000654097729896,227.44964849076834,71.72709850148593,-98.80716267753088,-204.86699881188778,12.671953363666418,1.2152006482114355
perp,1.1250096190842631,237.046722482654,176.51296854629018,-58.88680140804797,229.61596908685925,13.006165811022173,1.1661834604098666
perp,1.3115429011158137,324.0961085271017,320.864094145201,316.3190959447894,-70.57277876831826,12.796674009050234,2.0772048758507786
perp,1.4864178530203924,110.6302057437411,11.778934646262783,97.44321469545444,-52.38188935804108,13.729013624641116,2.4708652599227636
perp,1.6787803001154291,77.93409268632398,43.050101854934276,48.272679677913096,61.1839129147044,14.082031237451682,3.116814190073809
perp,2.749403616775683,103.27599937150393,72.49757950054763,-89.25446445984555,-51.957411599973376,13.51254486050828,14.515200285094556
perp,3.005886879569065,119.75434897099251,12.286173472359565,-52.72960214156401,-107.52066385331993,8.536242776774383,16.44688901588497
perp,3.1049826856483262,182.40910400560222,179.01707055162558,161.1300222642794,-85.49969093066615,6.360801616201175,15.878052416798734
perp,3.223509041939207,78.34594711250226,14.367592217608873,61.52080008557343,48.5106028182078,5.045064029154741,14.423122519227757
perp,4.875105809926895,130.52154620445629,125.70124492133662,128.98714987438532,-19.954678420983832,-6.799333566290915,11.323059047964538
